County,State,Year,Price
Fairfax,VA,2000,134.0
Montgomery,MD,2000,126.91666666666667
Prince Georges,MD,2000,91.83333333333333
District of Columbia,DC,2000,128.83333333333334
Prince William,VA,2000,98.08333333333333
Loudoun,VA,2000,115.41666666666667
Frederick,MD,2000,94.25
Arlington,VA,2000,173.5
Charles,MD,2000,84.5
Stafford,VA,2000,81.66666666666667
Spotsylvania,VA,2000,77.66666666666667
Montgomery,VA,2000,72.33333333333333
Calvert,MD,2000,98.16666666666667
Frederick,VA,2000,74.25
Fauquier,VA,2000,97.41666666666667
Culpeper,VA,2000,76.25
Warren,VA,2000,92.66666666666667
Jefferson,WA,2000,105.0
Fredericksburg City,VA,2000,67.66666666666667
Fairfax City,VA,2000,121.25
Manassas Park City,VA,2000,
Clarke,VA,2000,85.58333333333333
Falls Church City,VA,2000,152.66666666666666
Fairfax,VA,2001,156.41666666666666
Montgomery,MD,2001,143.91666666666666
Prince Georges,MD,2001,97.5
District of Columbia,DC,2001,151.75
Prince William,VA,2001,113.58333333333333
Loudoun,VA,2001,135.25
Frederick,MD,2001,102.41666666666667
Arlington,VA,2001,206.66666666666666
Charles,MD,2001,89.5
Stafford,VA,2001,90.33333333333333
Spotsylvania,VA,2001,83.41666666666667
Montgomery,VA,2001,78.41666666666667
Calvert,MD,2001,106.0
Frederick,VA,2001,79.66666666666667
Fauquier,VA,2001,109.0
Culpeper,VA,2001,82.33333333333333
Warren,VA,2001,95.16666666666667
Jefferson,WA,2001,115.25
Fredericksburg City,VA,2001,77.41666666666667
Fairfax City,VA,2001,139.16666666666666
Manassas Park City,VA,2001,
Clarke,VA,2001,98.25
Falls Church City,VA,2001,175.16666666666666
Fairfax,VA,2002,178.58333333333334
Montgomery,MD,2002,170.08333333333334
Prince Georges,MD,2002,108.58333333333333
District of Columbia,DC,2002,187.58333333333334
Prince William,VA,2002,130.66666666666666
Loudoun,VA,2002,148.75
Frederick,MD,2002,117.25
Arlington,VA,2002,245.16666666666666
Charles,MD,2002,99.08333333333333
Stafford,VA,2002,105.33333333333333
Spotsylvania,VA,2002,95.91666666666667
Montgomery,VA,2002,74.08333333333333
Calvert,MD,2002,117.08333333333333
Frederick,VA,2002,89.91666666666667
Fauquier,VA,2002,124.75
Culpeper,VA,2002,95.08333333333333
Warren,VA,2002,107.08333333333333
Jefferson,WA,2002,126.41666666666667
Fredericksburg City,VA,2002,87.58333333333333
Fairfax City,VA,2002,164.0
Manassas Park City,VA,2002,
Clarke,VA,2002,115.08333333333333
Falls Church City,VA,2002,203.75
Fairfax,VA,2003,201.83333333333334
Montgomery,MD,2003,198.83333333333334
Prince Georges,MD,2003,124.08333333333333
District of Columbia,DC,2003,230.58333333333334
Prince William,VA,2003,150.16666666666666
Loudoun,VA,2003,164.25
Frederick,MD,2003,137.08333333333334
Arlington,VA,2003,285.9166666666667
Charles,MD,2003,114.0
Stafford,VA,2003,122.33333333333333
Spotsylvania,VA,2003,112.75
Montgomery,VA,2003,81.5
Calvert,MD,2003,135.83333333333334
Frederick,VA,2003,106.25
Fauquier,VA,2003,143.41666666666666
Culpeper,VA,2003,110.08333333333333
Warren,VA,2003,121.5
Jefferson,WA,2003,135.83333333333334
Fredericksburg City,VA,2003,103.16666666666667
Fairfax City,VA,2003,191.83333333333334
Manassas Park City,VA,2003,
Clarke,VA,2003,130.41666666666666
Falls Church City,VA,2003,245.0
Fairfax,VA,2004,244.91666666666666
Montgomery,MD,2004,236.58333333333334
Prince Georges,MD,2004,148.25
District of Columbia,DC,2004,288.6666666666667
Prince William,VA,2004,182.33333333333334
Loudoun,VA,2004,198.83333333333334
Frederick,MD,2004,162.66666666666666
Arlington,VA,2004,344.5
Charles,MD,2004,139.25
Stafford,VA,2004,151.5
Spotsylvania,VA,2004,136.91666666666666
Montgomery,VA,2004,94.5
Calvert,MD,2004,166.16666666666666
Frederick,VA,2004,130.25
Fauquier,VA,2004,171.41666666666666
Culpeper,VA,2004,129.58333333333334
Warren,VA,2004,140.16666666666666
Jefferson,WA,2004,148.91666666666666
Fredericksburg City,VA,2004,136.16666666666666
Fairfax City,VA,2004,228.83333333333334
Manassas Park City,VA,2004,
Clarke,VA,2004,154.5
Falls Church City,VA,2004,282.3333333333333
Fairfax,VA,2005,302.75
Montgomery,MD,2005,282.0
Prince Georges,MD,2005,194.16666666666666
District of Columbia,DC,2005,348.5833333333333
Prince William,VA,2005,231.66666666666666
Loudoun,VA,2005,247.16666666666666
Frederick,MD,2005,197.16666666666666
Arlington,VA,2005,408.8333333333333
Charles,MD,2005,174.75
Stafford,VA,2005,192.33333333333334
Spotsylvania,VA,2005,173.41666666666666
Montgomery,VA,2005,108.0
Calvert,MD,2005,205.25
Frederick,VA,2005,165.41666666666666
Fauquier,VA,2005,211.58333333333334
Culpeper,VA,2005,166.08333333333334
Warren,VA,2005,171.16666666666666
Jefferson,WA,2005,177.41666666666666
Fredericksburg City,VA,2005,171.16666666666666
Fairfax City,VA,2005,284.0833333333333
Manassas Park City,VA,2005,
Clarke,VA,2005,182.16666666666666
Falls Church City,VA,2005,335.4166666666667
Fairfax,VA,2006,306.9166666666667
Montgomery,MD,2006,299.75
Prince Georges,MD,2006,220.75
District of Columbia,DC,2006,371.1666666666667
Prince William,VA,2006,238.0
Loudoun,VA,2006,246.33333333333334
Frederick,MD,2006,211.83333333333334
Arlington,VA,2006,418.8333333333333
Charles,MD,2006,197.75
Stafford,VA,2006,201.25
Spotsylvania,VA,2006,183.66666666666666
Montgomery,VA,2006,119.83333333333333
Calvert,MD,2006,225.58333333333334
Frederick,VA,2006,176.08333333333334
Fauquier,VA,2006,223.83333333333334
Culpeper,VA,2006,179.16666666666666
Warren,VA,2006,185.5
Jefferson,WA,2006,207.25
Fredericksburg City,VA,2006,173.33333333333334
Fairfax City,VA,2006,292.0833333333333
Manassas Park City,VA,2006,
Clarke,VA,2006,197.75
Falls Church City,VA,2006,346.4166666666667
Fairfax,VA,2007,287.6666666666667
Montgomery,MD,2007,289.0
Prince Georges,MD,2007,221.91666666666666
District of Columbia,DC,2007,371.1666666666667
Prince William,VA,2007,211.91666666666666
Loudoun,VA,2007,221.75
Frederick,MD,2007,201.66666666666666
Arlington,VA,2007,409.3333333333333
Charles,MD,2007,197.41666666666666
Stafford,VA,2007,183.08333333333334
Spotsylvania,VA,2007,169.41666666666666
Montgomery,VA,2007,115.25
Calvert,MD,2007,223.41666666666666
Frederick,VA,2007,162.41666666666666
Fauquier,VA,2007,203.25
Culpeper,VA,2007,166.16666666666666
Warren,VA,2007,177.16666666666666
Jefferson,WA,2007,210.5
Fredericksburg City,VA,2007,169.33333333333334
Fairfax City,VA,2007,271.1666666666667
Manassas Park City,VA,2007,
Clarke,VA,2007,195.08333333333334
Falls Church City,VA,2007,349.6666666666667
Fairfax,VA,2008,257.5833333333333
Montgomery,MD,2008,259.8333333333333
Prince Georges,MD,2008,194.16666666666666
District of Columbia,DC,2008,352.5
Prince William,VA,2008,173.41666666666666
Loudoun,VA,2008,195.0
Frederick,MD,2008,177.66666666666666
Arlington,VA,2008,391.3333333333333
Charles,MD,2008,173.16666666666666
Stafford,VA,2008,155.91666666666666
Spotsylvania,VA,2008,144.83333333333334
Montgomery,VA,2008,110.83333333333333
Calvert,MD,2008,203.0
Frederick,VA,2008,139.83333333333334
Fauquier,VA,2008,173.5
Culpeper,VA,2008,138.08333333333334
Warren,VA,2008,155.08333333333334
Jefferson,WA,2008,201.91666666666666
Fredericksburg City,VA,2008,156.75
Fairfax City,VA,2008,248.16666666666666
Manassas Park City,VA,2008,
Clarke,VA,2008,183.83333333333334
Falls Church City,VA,2008,331.0833333333333
Fairfax,VA,2009,240.66666666666666
Montgomery,MD,2009,234.75
Prince Georges,MD,2009,159.0
District of Columbia,DC,2009,332.1666666666667
Prince William,VA,2009,148.83333333333334
Loudoun,VA,2009,178.75
Frederick,MD,2009,156.0
Arlington,VA,2009,383.25
Charles,MD,2009,149.0
Stafford,VA,2009,134.58333333333334
Spotsylvania,VA,2009,125.08333333333333
Montgomery,VA,2009,103.33333333333333
Calvert,MD,2009,182.75
Frederick,VA,2009,121.83333333333333
Fauquier,VA,2009,151.25
Culpeper,VA,2009,116.83333333333333
Warren,VA,2009,137.0
Jefferson,WA,2009,188.66666666666666
Fredericksburg City,VA,2009,137.16666666666666
Fairfax City,VA,2009,234.25
Manassas Park City,VA,2009,
Clarke,VA,2009,170.58333333333334
Falls Church City,VA,2009,328.1666666666667
Fairfax,VA,2010,243.66666666666666
Montgomery,MD,2010,229.58333333333334
Prince Georges,MD,2010,137.91666666666666
District of Columbia,DC,2010,332.0
Prince William,VA,2010,152.41666666666666
Loudoun,VA,2010,180.83333333333334
Frederick,MD,2010,146.33333333333334
Arlington,VA,2010,382.4166666666667
Charles,MD,2010,137.16666666666666
Stafford,VA,2010,130.08333333333334
Spotsylvania,VA,2010,118.41666666666667
Montgomery,VA,2010,105.08333333333333
Calvert,MD,2010,170.08333333333334
Frederick,VA,2010,114.83333333333333
Fauquier,VA,2010,144.83333333333334
Culpeper,VA,2010,109.83333333333333
Warren,VA,2010,130.75
Jefferson,WA,2010,183.16666666666666
Fredericksburg City,VA,2010,136.66666666666666
Fairfax City,VA,2010,233.41666666666666
Manassas Park City,VA,2010,140.83333333333334
Clarke,VA,2010,151.83333333333334
Falls Church City,VA,2010,331.9166666666667
Fairfax,VA,2011,243.25
Montgomery,MD,2011,224.16666666666666
Prince Georges,MD,2011,126.33333333333333
District of Columbia,DC,2011,332.0
Prince William,VA,2011,153.83333333333334
Loudoun,VA,2011,181.58333333333334
Frederick,MD,2011,141.16666666666666
Arlington,VA,2011,381.5
Charles,MD,2011,128.25
Stafford,VA,2011,127.75
Spotsylvania,VA,2011,111.16666666666667
Montgomery,VA,2011,97.16666666666667
Calvert,MD,2011,160.66666666666666
Frederick,VA,2011,112.5
Fauquier,VA,2011,144.83333333333334
Culpeper,VA,2011,102.75
Warren,VA,2011,125.83333333333333
Jefferson,WA,2011,163.58333333333334
Fredericksburg City,VA,2011,135.66666666666666
Fairfax City,VA,2011,230.41666666666666
Manassas Park City,VA,2011,137.75
Clarke,VA,2011,142.91666666666666
Falls Church City,VA,2011,334.3333333333333
Fairfax,VA,2012,249.58333333333334
Montgomery,MD,2012,224.58333333333334
Prince Georges,MD,2012,122.5
District of Columbia,DC,2012,342.25
Prince William,VA,2012,159.25
Loudoun,VA,2012,186.25
Frederick,MD,2012,142.5
Arlington,VA,2012,391.6666666666667
Charles,MD,2012,122.75
Stafford,VA,2012,131.0
Spotsylvania,VA,2012,114.66666666666667
Montgomery,VA,2012,100.83333333333333
Calvert,MD,2012,166.08333333333334
Frederick,VA,2012,115.5
Fauquier,VA,2012,151.66666666666666
Culpeper,VA,2012,109.0
Warren,VA,2012,124.25
Jefferson,WA,2012,153.33333333333334
Fredericksburg City,VA,2012,141.58333333333334
Fairfax City,VA,2012,239.58333333333334
Manassas Park City,VA,2012,147.16666666666666
Clarke,VA,2012,143.16666666666666
Falls Church City,VA,2012,336.9166666666667
Fairfax,VA,2013,265.9166666666667
Montgomery,MD,2013,237.58333333333334
Prince Georges,MD,2013,132.83333333333334
District of Columbia,DC,2013,370.5833333333333
Prince William,VA,2013,171.16666666666666
Loudoun,VA,2013,198.0
Frederick,MD,2013,150.25
Arlington,VA,2013,411.5
Charles,MD,2013,125.16666666666667
Stafford,VA,2013,138.83333333333334
Spotsylvania,VA,2013,122.08333333333333
Montgomery,VA,2013,102.25
Calvert,MD,2013,164.91666666666666
Frederick,VA,2013,120.16666666666667
Fauquier,VA,2013,161.91666666666666
Culpeper,VA,2013,119.66666666666667
Warren,VA,2013,130.41666666666666
Jefferson,WA,2013,158.33333333333334
Fredericksburg City,VA,2013,145.83333333333334
Fairfax City,VA,2013,250.66666666666666
Manassas Park City,VA,2013,162.25
Clarke,VA,2013,151.5
Falls Church City,VA,2013,362.8333333333333
Fairfax,VA,2014,275.25
Montgomery,MD,2014,249.0
Prince Georges,MD,2014,145.0
District of Columbia,DC,2014,402.0833333333333
Prince William,VA,2014,178.75
Loudoun,VA,2014,204.83333333333334
Frederick,MD,2014,158.08333333333334
Arlington,VA,2014,423.75
Charles,MD,2014,130.25
Stafford,VA,2014,146.16666666666666
Spotsylvania,VA,2014,128.16666666666666
Montgomery,VA,2014,103.58333333333333
Calvert,MD,2014,166.66666666666666
Frederick,VA,2014,128.41666666666666
Fauquier,VA,2014,169.5
Culpeper,VA,2014,128.16666666666666
Warren,VA,2014,134.08333333333334
Jefferson,WA,2014,168.66666666666666
Fredericksburg City,VA,2014,138.41666666666666
Fairfax City,VA,2014,258.8333333333333
Manassas Park City,VA,2014,170.66666666666666
Clarke,VA,2014,154.0
Falls Church City,VA,2014,370.25
Fairfax,VA,2015,277.0
Montgomery,MD,2015,251.5
Prince Georges,MD,2015,154.25
District of Columbia,DC,2015,431.25
Prince William,VA,2015,181.5
Loudoun,VA,2015,205.25
Frederick,MD,2015,159.91666666666666
Arlington,VA,2015,429.75
Charles,MD,2015,133.08333333333334
Stafford,VA,2015,148.0
Spotsylvania,VA,2015,131.16666666666666
Montgomery,VA,2015,105.0
Calvert,MD,2015,167.66666666666666
Frederick,VA,2015,132.0
Fauquier,VA,2015,174.0
Culpeper,VA,2015,129.33333333333334
Warren,VA,2015,135.91666666666666
Jefferson,WA,2015,183.08333333333334
Fredericksburg City,VA,2015,142.75
Fairfax City,VA,2015,265.8333333333333
Manassas Park City,VA,2015,174.91666666666666
Clarke,VA,2015,156.66666666666666
Falls Church City,VA,2015,384.4166666666667
Fairfax,VA,2016,280.3333333333333
Montgomery,MD,2016,255.33333333333334
Prince Georges,MD,2016,161.66666666666666
District of Columbia,DC,2016,457.25
Prince William,VA,2016,185.08333333333334
Loudoun,VA,2016,209.66666666666666
Frederick,MD,2016,164.33333333333334
Arlington,VA,2016,441.1666666666667
Charles,MD,2016,138.41666666666666
Stafford,VA,2016,151.75
Spotsylvania,VA,2016,137.5
Montgomery,VA,2016,107.41666666666667
Calvert,MD,2016,168.75
Frederick,VA,2016,130.91666666666666
Fauquier,VA,2016,178.66666666666666
Culpeper,VA,2016,134.16666666666666
Warren,VA,2016,140.75
Jefferson,WA,2016,202.0
Fredericksburg City,VA,2016,138.33333333333334
Fairfax City,VA,2016,270.3333333333333
Manassas Park City,VA,2016,178.5
Clarke,VA,2016,154.58333333333334
Falls Church City,VA,2016,390.8333333333333
Fairfax,VA,2017,287.25
Montgomery,MD,2017,262.1666666666667
Prince Georges,MD,2017,171.83333333333334
District of Columbia,DC,2017,485.25
Prince William,VA,2017,192.75
Loudoun,VA,2017,217.58333333333334
Frederick,MD,2017,170.66666666666666
Arlington,VA,2017,454.5833333333333
Charles,MD,2017,146.08333333333334
Stafford,VA,2017,158.5
Spotsylvania,VA,2017,145.33333333333334
Montgomery,VA,2017,113.16666666666667
Calvert,MD,2017,176.0
Frederick,VA,2017,137.25
Fauquier,VA,2017,186.25
Culpeper,VA,2017,140.5
Warren,VA,2017,147.75
Jefferson,WA,2017,218.66666666666666
Fredericksburg City,VA,2017,139.08333333333334
Fairfax City,VA,2017,274.9166666666667
Manassas Park City,VA,2017,185.58333333333334
Clarke,VA,2017,162.08333333333334
Falls Church City,VA,2017,410.75
Fairfax,VA,2018,297.3333333333333
Montgomery,MD,2018,270.5833333333333
Prince Georges,MD,2018,184.0
District of Columbia,DC,2018,504.75
Prince William,VA,2018,201.16666666666666
Loudoun,VA,2018,226.58333333333334
Frederick,MD,2018,177.83333333333334
Arlington,VA,2018,469.0
Charles,MD,2018,154.41666666666666
Stafford,VA,2018,164.75
Spotsylvania,VA,2018,154.08333333333334
Montgomery,VA,2018,119.58333333333333
Calvert,MD,2018,185.25
Frederick,VA,2018,144.58333333333334
Fauquier,VA,2018,194.58333333333334
Culpeper,VA,2018,146.5
Warren,VA,2018,153.41666666666666
Jefferson,WA,2018,233.75
Fredericksburg City,VA,2018,143.33333333333334
Fairfax City,VA,2018,279.5833333333333
Manassas Park City,VA,2018,194.08333333333334
Clarke,VA,2018,169.08333333333334
Falls Church City,VA,2018,419.75
